Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Jonathan Carroll,"Carroll, Jonathan",Bones of the Moon,,Fiction,0,,,,,Tom Doherty Associates,Unread,,,,,,,,9780312873127,,2014/03/26,,,,,,,fBy9mAEACAAJ,0,0,,,,,,
,Marshall Lee,"Lee, Marshall",Bookmaking,"Editing, Design, Production",Design,0,,,,,W W Norton & Company Incorporated,Unread,,,,,,,,9780393732962,,2014/04/01,,,,,,,M4CROwAACAAJ,0,0,,,,,,
,Robert D. Putnam,"Putnam, Robert D.",Bowling Alone,The Collapse and Revival of American Community,History,0,,,,,Simon and Schuster,Unread,,,,,,,,9780743203043,,2014/03/26,,,,,,,rd2ibodep7UC,0,0,,,,,,
,"Kenneth Clarkson, Roger Miller, Frank Cross","Clarkson, Kenneth","Business Law: Text and Cases: Legal, Ethical, Global, and Corporate Environment",,Business & Economics,0,,,,,Cengage Learning,Unread,,,,,,,,9780538470827,,2014/04/01,,,,,,,Is-O46iiMTAC,0,0,,,,,,
,Steve Oualline,"Oualline, Steve",C Elements of Style,The Programmer's Style Manual for Elegant C and C++ Programs,Computers,0,,,,,M&T Books,Unread,,,,,,,,9781558512917,,2014/03/02,,,,,,,LLKAkgEACAAJ,0,0,,,,,,
,"Bob Miller, Robert Miller","Miller, Bob",Calc I,,Calculus,0,,,,,McGraw-Hill,Unread,,,,,,,,9780070434080,,2014/04/01,,,,,,,MYSU9oLeFs0C,0,0,,,,,,
,Michael Spivak,"Spivak, Michael",Calculus,,,0,,,,,Publish or Perish,Unread,,,,,,,,9780914098911,,2014/03/02,,,,,,,6jNLPwAACAAJ,0,0,,,,,,
,"William L. Briggs, Lyle Cochran","Briggs, William L.",Calculus,Early Transcendentals,Mathematics,0,,,,,ADDISON WESLEY Publishing Company Incorporated,Unread,,,,,,,,9780321570567,,2014/03/02,,,,,,,TTOzPwAACAAJ,0,0,,,,,,
,Voltaire,Voltaire,Candide,A Dual-language Book,Fiction,0,,,,,Courier Dover Publications,Unread,,,,,,,,9780486276250,,2014/03/02,,,,,,,FjLWju3FBrAC,0,0,,,,,,
,Anita Diamant,"Diamant, Anita",Choosing a Jewish Life,A Handbook for People Converting to Judaism and for Their Family and Friends,Religion,0,,,,,Random House LLC,Unread,,,,,,,,9780805210958,,2014/03/03,,,,,,,hMzjgrvB7AMC,0,0,,,,,,
